선수명,팀명,타율,0OUT,1OUT,2OUT,주자 유,주자 유 + 0OUT,주자 유 + 1OUT,주자 유 + 2OUT,주자 무,주자 무 + 0OUT,주자 무 + 1OUT,주자 무 + 2OUT,TUE,WED,THU,FRI,SAT,SUN,홈 경기장,원정 경기장,variance*100
강민호,삼성,0.258,0.304,0.245,0.226,0.301,0.472,0.263,0.262,0.215,0.236,0.225,0.15,0.328,0.345,0.189,0.295,0.207,0.222,0.272,0.242,0.466
강승호,두산,0.264,0.246,0.308,0.239,0.31,0.271,0.377,0.281,0.221,0.233,0.243,0.179,0.209,0.2,0.26,0.297,0.361,0.234,0.24,0.283,0.253
구자욱,삼성,0.293,0.338,0.305,0.221,0.301,0.442,0.318,0.176,0.283,0.272,0.295,0.278,0.339,0.319,0.284,0.244,0.229,0.349,0.306,0.276,0.303
김도영,KIA,0.237,0.221,0.225,0.263,0.293,0.222,0.306,0.311,0.192,0.22,0.159,0.194,0.286,0.25,0.175,0.216,0.302,0.2,0.229,0.245,0.197
김민혁,KT,0.284,0.299,0.23,0.325,0.325,0.358,0.245,0.358,0.25,0.262,0.219,0.277,0.291,0.383,0.273,0.177,0.338,0.261,0.308,0.264,0.266
김선빈,KIA,0.287,0.285,0.279,0.299,0.278,0.254,0.286,0.287,0.295,0.302,0.274,0.317,0.329,0.277,0.266,0.242,0.295,0.325,0.289,0.286,0.045
김성현,SSG,0.219,0.228,0.221,0.206,0.213,0.2,0.222,0.21,0.224,0.239,0.22,0.2,0.237,0.189,0.229,0.161,0.315,0.189,0.216,0.221,0.086
김인환,한화,0.261,0.304,0.263,0.228,0.248,0.343,0.279,0.192,0.276,0.286,0.246,0.3,0.217,0.242,0.246,0.25,0.284,0.324,0.245,0.278,0.13
김재환,두산,0.248,0.257,0.243,0.241,0.252,0.233,0.284,0.235,0.244,0.262,0.194,0.256,0.284,0.171,0.217,0.27,0.265,0.3,0.226,0.268,0.093
김주원,NC,0.223,0.19,0.245,0.239,0.236,0.217,0.255,0.226,0.22,0.179,0.236,0.256,0.237,0.192,0.304,0.24,0.263,0.114,0.248,0.202,0.151
김준완,키움,0.192,0.171,0.171,0.232,0.211,0.143,0.2,0.231,0.177,0.175,0.149,0.233,0.22,0.256,0.096,0.228,0.21,0.159,0.187,0.191,0.146
김지찬,삼성,0.28,0.308,0.279,0.237,0.291,0.381,0.296,0.212,0.272,0.279,0.265,0.268,0.314,0.288,0.268,0.282,0.25,0.286,0.282,0.278,0.108
김태연,한화,0.24,0.221,0.285,0.205,0.254,0.255,0.348,0.175,0.227,0.202,0.235,0.262,0.188,0.222,0.254,0.306,0.2,0.239,0.257,0.225,0.167
